"Time (ps)", "Coul-SR:Water-LIG", "LJ-SR:Water-LIG", "Coul-14:Water-LIG", "LJ-14:Water-LIG", "Coul-SR:LIG-LIG", "LJ-SR:LIG-LIG", "Coul-14:LIG-LIG", "LJ-14:LIG-LIG"
0.000000, -115.385925, -101.102875, 0.000000, 0.000000, -80.645630, -16.517292, -142.017029, 44.593071
1.000000, -105.354568, -98.264725, 0.000000, 0.000000, -82.531441, -16.017569, -139.092499, 45.410736
2.000000, -82.007164, -109.298256, 0.000000, 0.000000, -89.640968, -15.837584, -130.336670, 47.977196
3.000000, -105.983139, -103.992325, 0.000000, 0.000000, -74.385170, -13.597932, -146.763657, 45.417686
4.000000, -130.136780, -83.604187, 0.000000, 0.000000, -82.169632, -14.741494, -141.331909, 45.144497
5.000000, -119.140511, -109.861839, 0.000000, 0.000000, -82.512939, -16.371691, -131.020523, 43.187588
6.000000, -101.311600, -93.468102, 0.000000, 0.000000, -75.152954, -13.303209, -144.112915, 46.614994
7.000000, -114.901329, -110.830101, 0.000000, 0.000000, -86.710144, -13.771639, -130.304199, 46.778370
8.000000, -111.634102, -105.406593, 0.000000, 0.000000, -69.832497, -14.439791, -146.617584, 47.295864
9.000000, -110.870293, -105.597008, 0.000000, 0.000000, -75.607269, -14.568006, -145.061646, 44.950413
10.000000, -131.709274, -108.380928, 0.000000, 0.000000, -79.067444, -1.253282, -141.615723, 53.042850
11.000000, -118.212631, -110.463776, 0.000000, 0.000000, -82.661545, -3.705529, -137.586655, 46.238087
12.000000, -91.045959, -109.775993, 0.000000, 0.000000, -79.906357, -16.012041, -139.729767, 44.265396
13.000000, -111.754105, -103.034645, 0.000000, 0.000000, -86.313026, -6.558588, -138.927368, 47.238003
14.000000, -126.717857, -90.814400, 0.000000, 0.000000, -87.632660, -11.943726, -132.898529, 47.356873
15.000000, -93.565750, -109.523338, 0.000000, 0.000000, -91.407982, -9.537018, -129.067627, 48.202190
16.000000, -98.062210, -114.686691, 0.000000, 0.000000, -80.503059, -18.772991, -144.278107, 45.823109
17.000000, -84.405426, -109.884148, 0.000000, 0.000000, -78.452362, -8.838845, -143.039658, 47.348225
18.000000, -142.533035, -101.593407, 0.000000, 0.000000, -84.767296, -11.849813, -135.127243, 46.243504
