"Time (ps)", "Coul-SR:Water_and_ions-LIG", "LJ-SR:Water_and_ions-LIG", "Coul-14:Water_and_ions-LIG", "LJ-14:Water_and_ions-LIG", "Coul-SR:LIG-LIG", "LJ-SR:LIG-LIG", "Coul-14:LIG-LIG", "LJ-14:LIG-LIG"
0.000000, -248.006775, -193.824005, 0.000000, 0.000000, 293.304169, -37.128689, -658.616028, 96.577568
1.000000, -326.848846, -188.927216, 0.000000, 0.000000, 288.573090, -23.830988, -653.050781, 110.039108
2.000000, -243.550308, -189.362839, 0.000000, 0.000000, 285.984253, -26.193317, -653.422607, 101.753799
3.000000, -288.854401, -201.806198, 0.000000, 0.000000, 287.162292, -39.007591, -653.411926, 103.558929
4.000000, -305.545929, -177.565567, 0.000000, 0.000000, 282.829010, -40.269783, -655.066284, 105.343872
5.000000, -318.409088, -185.516281, 0.000000, 0.000000, 282.845093, -28.464613, -648.789124, 103.453560
6.000000, -314.582458, -190.434723, 0.000000, 0.000000, 293.028107, -29.132685, -656.813293, 102.020172
7.000000, -229.721024, -227.533096, 0.000000, 0.000000, 279.241089, -46.272789, -648.632263, 101.377251
8.000000, -315.832916, -173.935806, 0.000000, 0.000000, 282.415100, -42.924175, -647.076904, 111.061157
9.000000, -296.773590, -193.565964, 0.000000, 0.000000, 294.647400, -40.772457, -656.326355, 99.643799
10.000000, -246.676804, -188.795410, 0.000000, 0.000000, 288.335419, -32.810432, -649.596436, 99.758324
11.000000, -305.888397, -181.017578, 0.000000, 0.000000, 298.711243, -28.861609, -659.648499, 103.974365
12.000000, -237.329590, -219.251770, 0.000000, 0.000000, 290.000824, -29.498026, -661.181580, 110.210953
13.000000, -334.896423, -178.260468, 0.000000, 0.000000, 282.779053, -28.465614, -657.334717, 107.301872
14.000000, -255.434891, -190.200897, 0.000000, 0.000000, 280.951172, -38.486794, -644.962341, 94.949730
15.000000, -282.817505, -204.192017, 0.000000, 0.000000, 275.564209, -37.942379, -642.497864, 96.001022
16.000000, -331.129700, -189.419739, 0.000000, 0.000000, 292.882599, -43.692341, -652.324829, 100.008904
17.000000, -329.746521, -190.249588, 0.000000, 0.000000, 286.674652, -35.934357, -641.470825, 100.708153
18.000000, -299.390656, -201.357285, 0.000000, 0.000000, 296.305939, -34.746437, -652.557922, 100.070351
19.000000, -320.461304, -187.135590, 0.000000, 0.000000, 296.600067, -36.329266, -656.948242, 101.380470
20.000000, -327.054321, -189.238831, 0.000000, 0.000000, 293.152893, -42.336494, -652.124390, 100.028862
21.000000, -346.624146, -171.180832, 0.000000, 0.000000, 278.091583, -47.375004, -635.902832, 87.036087
22.000000, -262.673370, -203.879959, 0.000000, 0.000000, 289.504028, -34.904362, -654.260681, 107.720924
23.000000, -292.995911, -207.688934, 0.000000, 0.000000, 287.842621, -26.244450, -653.292114, 100.633553
24.000000, -236.431412, -193.748199, 0.000000, 0.000000, 291.723785, -41.094948, -653.762634, 106.772369
25.000000, -267.730621, -211.100967, 0.000000, 0.000000, 288.374725, -32.744949, -661.119141, 105.535400
26.000000, -291.001129, -193.842880, 0.000000, 0.000000, 278.671570, -40.574726, -645.664490, 102.385460
27.000000, -267.133331, -206.083633, 0.000000, 0.000000, 290.881409, -35.070210, -663.994385, 108.974052
28.000000, -293.689789, -195.157883, 0.000000, 0.000000, 288.020203, -47.759697, -648.816406, 94.609116
29.000000, -347.670013, -209.543976, 0.000000, 0.000000, 292.704651, -41.396370, -647.103088, 96.196358
30.000000, -245.338303, -210.794754, 0.000000, 0.000000, 281.369873, -30.661747, -640.634827, 94.654129
31.000000, -297.608154, -191.478500, 0.000000, 0.000000, 284.181061, -46.223686, -646.118958, 99.478210
32.000000, -301.639496, -176.056580, 0.000000, 0.000000, 275.045288, -36.129082, -642.865051, 102.706734
33.000000, -290.056854, -192.536743, 0.000000, 0.000000, 286.431671, -34.955814, -651.942688, 99.200867
34.000000, -289.816589, -181.279175, 0.000000, 0.000000, 288.470825, -34.800068, -658.173401, 100.775169
35.000000, -217.421494, -194.862656, 0.000000, 0.000000, 281.309357, -28.181221, -638.990479, 104.451729
36.000000, -263.062073, -187.470612, 0.000000, 0.000000, 286.136871, -31.036400, -644.270203, 98.565498
37.000000, -298.102814, -170.110458, 0.000000, 0.000000, 290.914886, -41.968319, -658.516235, 102.220909
38.000000, -332.205292, -203.437317, 0.000000, 0.000000, 289.450470, -31.884211, -652.680847, 115.097504
39.000000, -324.470947, -174.587540, 0.000000, 0.000000, 289.748840, -36.815628, -653.807800, 106.170547
40.000000, -308.721924, -186.367355, 0.000000, 0.000000, 288.988464, -36.597672, -653.789856, 101.979752
41.000000, -317.732025, -169.420532, 0.000000, 0.000000, 291.939758, -38.765472, -649.015991, 106.418129
42.000000, -281.318176, -194.296402, 0.000000, 0.000000, 290.959625, -47.124771, -653.698914, 98.980354
43.000000, -340.184418, -204.895142, 0.000000, 0.000000, 291.786987, -33.339596, -652.610413, 107.675758
44.000000, -291.387482, -196.631989, 0.000000, 0.000000, 294.472717, -37.747440, -657.860596, 100.282883
45.000000, -345.145569, -184.874329, 0.000000, 0.000000, 284.269897, -30.510946, -652.885376, 101.850555
46.000000, -311.240662, -200.578323, 0.000000, 0.000000, 290.895050, -46.350628, -654.376343, 103.410431
47.000000, -316.069977, -193.563660, 0.000000, 0.000000, 304.284454, -32.661800, -661.467468, 107.483665
48.000000, -307.508362, -180.124039, 0.000000, 0.000000, 296.004425, -37.050308, -650.491821, 97.219978
49.000000, -290.869232, -169.682205, 0.000000, 0.000000, 282.664001, -39.427544, -650.565491, 94.005806
